ID_Venta,Cantidad_Items_Total,Variedad_Items_Ticket,Subtotal_Total,Gasto_Utiles,Gasto_Fotocopiadora,Gasto_Otros,Precio_Promedio_Item,Ratio_Utiles,Departamento_Dominante,Es_Outlier_Monto,Segmento_Volumen_Ticket
VTA-0000086,2,1,1.0,1.0,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000087,1,1,2.5,2.5,0.0,0.0,2.5,1.0,UTILES,False,Estándar Minorista
VTA-0000088,9,1,9.0,0.0,9.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000089,4,2,3.1,3.1,0.0,0.0,0.775,1.0,UTILES,False,Estándar Minorista
VTA-0000090,1,1,5.0,5.0,0.0,0.0,5.0,1.0,UTILES,False,Estándar Minorista
VTA-0000091,1,1,5.0,5.0,0.0,0.0,5.0,1.0,UTILES,False,Estándar Minorista
VTA-0000092,16,4,4.5,4.5,0.0,0.0,0.2812,1.0,UTILES,False,Estándar Minorista
VTA-0000093,15,3,2.5,2.5,0.0,0.0,0.1667,1.0,UTILES,False,Estándar Minorista
VTA-0000094,10,1,4.0,0.0,4.0,0.0,0.4,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000095,40,1,3.2,0.0,3.2,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000096,26,1,2.1,0.0,2.1,0.0,0.0808,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000097,25,1,2.0,0.0,2.0,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000098,17,4,8.1,0.5,7.6,0.0,0.4765,0.0617,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000099,1,1,0.5,0.0,0.5,0.0,0.5,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000100,3,3,4.0,4.0,0.0,0.0,1.3333,1.0,UTILES,False,Estándar Minorista
VTA-0000101,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000102,1,1,0.5,0.5,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000103,12,2,3.0,3.0,0.0,0.0,0.25,1.0,UTILES,False,Estándar Minorista
VTA-0000104,9,3,4.2,4.2,0.0,0.0,0.4667,1.0,UTILES,False,Estándar Minorista
VTA-0000105,51,1,4.1,0.0,4.1,0.0,0.0804,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000106,24,1,1.9,0.0,1.9,0.0,0.0792,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000107,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000108,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000109,11,2,10.5,0.0,10.5,0.0,0.9545,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000110,251,1,20.1,0.0,20.1,0.0,0.0801,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000111,2,1,2.0,2.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000112,5,1,0.5,0.5,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000113,10,1,2.0,2.0,0.0,0.0,0.2,1.0,UTILES,False,Estándar Minorista
VTA-0000114,2,1,1.2,1.2,0.0,0.0,0.6,1.0,UTILES,False,Estándar Minorista
VTA-0000115,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000116,2,1,0.6,0.0,0.6,0.0,0.3,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000117,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000118,2,1,2.0,2.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000119,1,1,0.5,0.0,0.5,0.0,0.5,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000120,1,1,8.0,8.0,0.0,0.0,8.0,1.0,UTILES,False,Estándar Minorista
VTA-0000121,41,1,3.3,0.0,3.3,0.0,0.0805,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000122,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000123,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000124,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000125,14,1,14.0,0.0,14.0,0.0,1.0,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000126,403,1,32.2,0.0,32.2,0.0,0.0799,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000127,225,3,108.9,1.2,107.7,0.0,0.484,0.011,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000128,1,1,2.0,2.0,0.0,0.0,2.0,1.0,UTILES,False,Estándar Minorista
VTA-0000129,6,2,1.5,1.5,0.0,0.0,0.25,1.0,UTILES,False,Estándar Minorista
VTA-0000130,9,2,1.3,1.3,0.0,0.0,0.1444,1.0,UTILES,False,Estándar Minorista
VTA-0000131,4,2,1.4,1.4,0.0,0.0,0.35,1.0,UTILES,False,Estándar Minorista
VTA-0000132,2,1,0.4,0.4,0.0,0.0,0.2,1.0,UTILES,False,Estándar Minorista
VTA-0000133,1,1,0.5,0.5,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000134,1,1,0.5,0.5,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000135,20,1,2.0,0.0,2.0,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000136,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000137,4,1,4.0,0.0,4.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000138,10,1,1.0,0.0,1.0,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000139,52,1,4.2,0.0,4.2,0.0,0.0808,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000140,48,1,3.8,0.0,3.8,0.0,0.0792,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000141,1,1,8.0,8.0,0.0,0.0,8.0,1.0,UTILES,False,Estándar Minorista
VTA-0000142,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000143,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000144,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000145,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000146,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000147,52,1,4.2,0.0,4.2,0.0,0.0808,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000148,5,1,0.5,0.0,0.5,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000149,1,1,0.1,0.0,0.1,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000150,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000151,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000152,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000153,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000154,10,1,0.8,0.0,0.8,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000155,1,1,5.0,5.0,0.0,0.0,5.0,1.0,UTILES,False,Estándar Minorista
VTA-0000156,26,1,2.1,0.0,2.1,0.0,0.0808,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000157,1,1,9.0,9.0,0.0,0.0,9.0,1.0,UTILES,False,Estándar Minorista
VTA-0000158,11,1,1.1,0.0,1.1,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000159,79,1,6.3,0.0,6.3,0.0,0.0797,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000160,100,1,8.0,0.0,8.0,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000161,2,2,3.2,3.2,0.0,0.0,1.6,1.0,UTILES,False,Estándar Minorista
VTA-0000162,2,2,10.5,10.5,0.0,0.0,5.25,1.0,UTILES,True,Mayorista / Compra Atípica
VTA-0000163,2,1,8.0,8.0,0.0,0.0,4.0,1.0,UTILES,False,Estándar Minorista
VTA-0000164,230,1,18.4,0.0,18.4,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000165,54,1,54.0,0.0,54.0,0.0,1.0,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000166,1,1,5.5,5.5,0.0,0.0,5.5,1.0,UTILES,False,Estándar Minorista
VTA-0000167,1,1,1.5,1.5,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000168,1,1,4.0,4.0,0.0,0.0,4.0,1.0,UTILES,False,Estándar Minorista
VTA-0000169,4,1,0.4,0.0,0.4,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000170,1,1,0.3,0.0,0.3,0.0,0.3,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000171,6,2,1.0,1.0,0.0,0.0,0.1667,1.0,UTILES,False,Estándar Minorista
VTA-0000172,6,4,3.1,3.1,0.0,0.0,0.5167,1.0,UTILES,False,Estándar Minorista
VTA-0000173,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000174,2,1,1.0,1.0,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000175,4,2,1.4,1.4,0.0,0.0,0.35,1.0,UTILES,False,Estándar Minorista
VTA-0000176,16,2,5.1,0.0,5.1,0.0,0.3188,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000177,1,1,1.2,1.2,0.0,0.0,1.2,1.0,UTILES,False,Estándar Minorista
VTA-0000178,21,1,10.5,0.0,10.5,0.0,0.5,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000179,23,3,8.8,0.0,8.8,0.0,0.3826,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000180,275,1,22.0,0.0,22.0,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000181,1,1,2.0,0.0,2.0,0.0,2.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000182,1,1,6.5,6.5,0.0,0.0,6.5,1.0,UTILES,False,Estándar Minorista
VTA-0000183,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000184,7,3,3.4,3.4,0.0,0.0,0.4857,1.0,UTILES,False,Estándar Minorista
VTA-0000185,2,1,1.0,1.0,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000186,32,1,3.2,0.0,3.2,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000187,2,1,1.0,1.0,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000188,5,1,0.5,0.0,0.5,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000189,45,1,3.6,0.0,3.6,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000190,40,1,3.2,0.0,3.2,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000191,1,1,2.0,2.0,0.0,0.0,2.0,1.0,UTILES,False,Estándar Minorista
VTA-0000192,2,1,0.2,0.2,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000193,1,1,0.5,0.0,0.5,0.0,0.5,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000194,5,1,0.5,0.0,0.5,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000195,1,1,10.0,10.0,0.0,0.0,10.0,1.0,UTILES,False,Estándar Minorista
VTA-0000196,11,2,1.5,1.5,0.0,0.0,0.1364,1.0,UTILES,False,Estándar Minorista
VTA-0000197,1,1,3.5,3.5,0.0,0.0,3.5,1.0,UTILES,False,Estándar Minorista
VTA-0000198,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000199,5,3,1.1,1.1,0.0,0.0,0.22,1.0,UTILES,False,Estándar Minorista
VTA-0000200,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000201,3,2,0.7,0.7,0.0,0.0,0.2333,1.0,UTILES,False,Estándar Minorista
VTA-0000202,67,1,5.4,0.0,5.4,0.0,0.0806,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000203,18,1,1.4,0.0,1.4,0.0,0.0778,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000204,60,1,30.0,0.0,30.0,0.0,0.5,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000205,2,2,1.5,1.5,0.0,0.0,0.75,1.0,UTILES,False,Estándar Minorista
VTA-0000206,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000207,1,1,1.2,1.2,0.0,0.0,1.2,1.0,UTILES,False,Estándar Minorista
VTA-0000208,1,1,0.5,0.5,0.0,0.0,0.5,1.0,UTILES,False,Estándar Minorista
VTA-0000209,3,1,0.3,0.3,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000210,1,1,1.2,1.2,0.0,0.0,1.2,1.0,UTILES,False,Estándar Minorista
VTA-0000211,8,1,0.8,0.8,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000212,3,1,0.3,0.3,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000213,22,1,1.8,0.0,1.8,0.0,0.0818,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000214,6,2,1.4,1.4,0.0,0.0,0.2333,1.0,UTILES,False,Estándar Minorista
VTA-0000215,5,1,0.5,0.0,0.5,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000216,65,1,5.2,0.0,5.2,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000217,35,1,2.8,0.0,2.8,0.0,0.08,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000218,1,1,4.5,4.5,0.0,0.0,4.5,1.0,UTILES,False,Estándar Minorista
VTA-0000219,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000220,10,1,1.0,1.0,0.0,0.0,0.1,1.0,UTILES,False,Estándar Minorista
VTA-0000221,2,2,1.5,1.5,0.0,0.0,0.75,1.0,UTILES,False,Estándar Minorista
VTA-0000222,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000223,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000224,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000225,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000226,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000227,2,2,1.5,1.5,0.0,0.0,0.75,1.0,UTILES,False,Estándar Minorista
VTA-0000228,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000229,4,4,6.0,6.0,0.0,0.0,1.5,1.0,UTILES,False,Estándar Minorista
VTA-0000230,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000231,7,1,0.7,0.0,0.7,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000232,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000233,2,1,2.0,0.0,2.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000234,2,2,0.7,0.2,0.5,0.0,0.35,0.2857,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000235,150,1,12.0,0.0,12.0,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
VTA-0000236,4,1,4.0,0.0,4.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000237,2,1,2.0,0.0,2.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000238,1,1,1.0,1.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000239,2,1,2.0,2.0,0.0,0.0,1.0,1.0,UTILES,False,Estándar Minorista
VTA-0000240,3,2,2.0,0.2,1.8,0.0,0.6667,0.1,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000241,1,1,1.0,0.0,1.0,0.0,1.0,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000242,3,2,2.0,0.2,1.8,0.0,0.6667,0.1,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000243,10,1,1.0,0.0,1.0,0.0,0.1,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000244,1,1,5.0,5.0,0.0,0.0,5.0,1.0,UTILES,False,Estándar Minorista
VTA-0000245,34,1,2.7,0.0,2.7,0.0,0.0794,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000246,84,1,6.7,0.0,6.7,0.0,0.0798,0.0,FOTOCOPIADORA,False,Estándar Minorista
VTA-0000247,494,1,39.5,0.0,39.5,0.0,0.08,0.0,FOTOCOPIADORA,True,Mayorista / Compra Atípica
