ID,Metodo_Pago,total_monto,ID_Venta,n_items,diversidad_productos,n_departamentos,max_subtotal,std_subtotal,ticket_promedio_item,ratio_diversidad,Cluster_KMeans,Cluster_DBSCAN,Cluster_GMM,Cluster_Final
VTA-0000032,EFECTIVO,0.8,VTA-0000032,4,1,1,0.8,0.0,0.2,0.25,1,0,1,1
VTA-0000033,EFECTIVO,1.5,VTA-0000033,15,1,1,1.5,0.0,0.1,0.06666666666666667,1,0,1,1
VTA-0000034,EFECTIVO,4.0,VTA-0000034,2,2,1,3.0,1.4142135623730951,2.0,1.0,0,2,2,0
VTA-0000035,EFECTIVO,0.3,VTA-0000035,3,1,1,0.3,0.0,0.09999999999999999,0.3333333333333333,1,0,1,1
VTA-0000036,EFECTIVO,0.4,VTA-0000036,4,1,1,0.4,0.0,0.1,0.25,1,0,1,1
VTA-0000037,EFECTIVO,5.0,VTA-0000037,2,2,1,2.5,0.0,2.5,1.0,0,2,2,0
VTA-0000039,YAPE,0.6,VTA-0000039,1,1,1,0.6,0.0,0.6,1.0,0,1,0,0
VTA-0000040,EFECTIVO,2.5,VTA-0000040,4,2,1,1.5,0.3535533905932738,0.625,0.5,1,2,1,1
VTA-0000041,EFECTIVO,0.6,VTA-0000041,1,1,1,0.6,0.0,0.6,1.0,0,1,0,0
VTA-0000043,YAPE,5.5,VTA-0000043,3,3,1,2.0,0.2886751345948129,1.8333333333333333,1.0,0,-1,1,0
VTA-0000044,EFECTIVO,8.0,VTA-0000044,1,1,1,8.0,0.0,8.0,1.0,2,1,0,2
VTA-0000045,YAPE,8.0,VTA-0000045,1,1,1,8.0,0.0,8.0,1.0,2,1,0,2
VTA-0000047,EFECTIVO,5.0,VTA-0000047,3,2,1,3.0,0.7071067811865476,1.6666666666666667,0.6666666666666666,1,2,1,1
VTA-0000048,EFECTIVO,2.0,VTA-0000048,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000049,EFECTIVO,9.0,VTA-0000049,1,1,1,9.0,0.0,9.0,1.0,2,1,0,2
VTA-0000050,EFECTIVO,2.5,VTA-0000050,1,1,1,2.5,0.0,2.5,1.0,0,1,0,0
VTA-0000051,EFECTIVO,3.0,VTA-0000051,3,1,1,3.0,0.0,1.0,0.3333333333333333,1,0,1,1
VTA-0000052,YAPE,9.0,VTA-0000052,1,1,1,9.0,0.0,9.0,1.0,2,1,0,2
VTA-0000053,YAPE,3.0,VTA-0000053,3,1,1,3.0,0.0,1.0,0.3333333333333333,1,0,1,1
VTA-0000055,EFECTIVO,0.4,VTA-0000055,4,1,1,0.4,0.0,0.1,0.25,1,0,1,1
VTA-0000056,EFECTIVO,9.0,VTA-0000056,1,1,1,9.0,0.0,9.0,1.0,2,1,0,2
VTA-0000057,EFECTIVO,3.0,VTA-0000057,3,1,1,3.0,0.0,1.0,0.3333333333333333,1,0,1,1
VTA-0000058,EFECTIVO,2.5,VTA-0000058,1,1,1,2.5,0.0,2.5,1.0,0,1,0,0
VTA-0000060,EFECTIVO,4.0,VTA-0000060,1,1,1,4.0,0.0,4.0,1.0,0,1,0,0
VTA-0000062,EFECTIVO,4.0,VTA-0000062,1,1,1,4.0,0.0,4.0,1.0,0,1,0,0
VTA-0000063,EFECTIVO,2.0,VTA-0000063,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000064,EFECTIVO,1.5,VTA-0000064,2,2,1,1.0,0.3535533905932738,0.75,1.0,0,2,2,0
VTA-0000066,EFECTIVO,1.0,VTA-0000066,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000067,YAPE,2.0,VTA-0000067,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000068,YAPE,6.5,VTA-0000068,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000069,YAPE,1.5,VTA-0000069,2,2,1,1.0,0.3535533905932738,0.75,1.0,0,2,2,0
VTA-0000070,EFECTIVO,6.5,VTA-0000070,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000071,EFECTIVO,1.0,VTA-0000071,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000072,EFECTIVO,1.6,VTA-0000072,2,2,1,1.0,0.282842712474619,0.8,1.0,0,2,2,0
VTA-0000074,EFECTIVO,2.8,VTA-0000074,2,2,1,1.8,0.565685424949238,1.4,1.0,0,2,2,0
VTA-0000075,YAPE,1.0,VTA-0000075,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000076,EFECTIVO,5.0,VTA-0000076,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000077,EFECTIVO,4.2,VTA-0000077,9,3,1,2.0,0.529150262212918,0.4666666666666667,0.3333333333333333,1,-1,1,1
VTA-0000078,EFECTIVO,8.0,VTA-0000078,1,1,1,8.0,0.0,8.0,1.0,2,1,0,2
VTA-0000079,YAPE,3.0,VTA-0000079,2,2,1,2.0,0.7071067811865476,1.5,1.0,0,2,2,0
VTA-0000080,YAPE,1.0,VTA-0000080,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000081,YAPE,5.2,VTA-0000081,9,4,1,2.0,0.4760952285695233,0.5777777777777778,0.4444444444444444,1,-1,1,1
VTA-0000083,EFECTIVO,1.0,VTA-0000083,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000085,EFECTIVO,1.0,VTA-0000085,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000086,EFECTIVO,1.0,VTA-0000086,2,1,1,1.0,0.0,0.5,0.5,0,0,0,0
VTA-0000087,YAPE,2.5,VTA-0000087,1,1,1,2.5,0.0,2.5,1.0,0,1,0,0
VTA-0000088,YAPE,9.0,VTA-0000088,9,1,1,9.0,0.0,1.0,0.1111111111111111,1,-1,1,1
VTA-0000089,YAPE,3.1,VTA-0000089,4,2,1,2.5,1.3435028842544403,0.775,0.5,1,2,1,1
VTA-0000090,EFECTIVO,5.0,VTA-0000090,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000091,EFECTIVO,5.0,VTA-0000091,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000092,EFECTIVO,4.5,VTA-0000092,16,4,1,2.0,0.65,0.28125,0.25,1,-1,1,1
VTA-0000093,EFECTIVO,2.5,VTA-0000093,15,3,1,1.2,0.3511884584284246,0.16666666666666666,0.2,1,-1,1,1
VTA-0000094,EFECTIVO,4.0,VTA-0000094,10,1,1,4.0,0.0,0.4,0.1,1,0,1,1
VTA-0000099,EFECTIVO,0.5,VTA-0000099,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000100,EFECTIVO,4.0,VTA-0000100,3,3,1,2.0,0.5773502691896257,1.3333333333333333,1.0,0,-1,1,0
VTA-0000101,EFECTIVO,1.0,VTA-0000101,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000102,EFECTIVO,0.5,VTA-0000102,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000103,EFECTIVO,3.0,VTA-0000103,12,2,1,2.0,0.7071067811865476,0.25,0.16666666666666666,1,-1,1,1
VTA-0000104,EFECTIVO,4.2,VTA-0000104,9,3,1,2.0,0.529150262212918,0.4666666666666667,0.3333333333333333,1,-1,1,1
VTA-0000107,EFECTIVO,1.0,VTA-0000107,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000108,EFECTIVO,1.0,VTA-0000108,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000111,EFECTIVO,2.0,VTA-0000111,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000112,EFECTIVO,0.5,VTA-0000112,5,1,1,0.5,0.0,0.1,0.2,1,0,1,1
VTA-0000113,EFECTIVO,2.0,VTA-0000113,10,1,1,2.0,0.0,0.2,0.1,1,0,1,1
VTA-0000114,YAPE,1.2,VTA-0000114,2,1,1,0.6,0.0,0.6,0.5,0,0,1,0
VTA-0000115,YAPE,1.0,VTA-0000115,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000116,EFECTIVO,0.6,VTA-0000116,2,1,1,0.6,0.0,0.3,0.5,0,0,0,0
VTA-0000117,EFECTIVO,1.0,VTA-0000117,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000118,EFECTIVO,2.0,VTA-0000118,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000119,EFECTIVO,0.5,VTA-0000119,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000120,YAPE,8.0,VTA-0000120,1,1,1,8.0,0.0,8.0,1.0,2,1,0,2
VTA-0000122,EFECTIVO,1.0,VTA-0000122,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000123,EFECTIVO,1.0,VTA-0000123,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000124,EFECTIVO,1.0,VTA-0000124,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000128,EFECTIVO,2.0,VTA-0000128,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000129,EFECTIVO,1.5,VTA-0000129,6,2,1,1.0,0.3535533905932738,0.25,0.3333333333333333,1,2,1,1
VTA-0000130,EFECTIVO,1.3,VTA-0000130,9,2,1,0.8,0.21213203435596428,0.14444444444444446,0.2222222222222222,1,-1,1,1
VTA-0000131,EFECTIVO,1.4,VTA-0000131,4,2,1,1.0,0.42426406871192845,0.35,0.5,1,2,1,1
VTA-0000132,EFECTIVO,0.4,VTA-0000132,2,1,1,0.4,0.0,0.2,0.5,0,0,0,0
VTA-0000133,YAPE,0.5,VTA-0000133,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000134,YAPE,0.5,VTA-0000134,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000136,EFECTIVO,6.5,VTA-0000136,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000137,EFECTIVO,4.0,VTA-0000137,4,1,1,4.0,0.0,1.0,0.25,1,0,1,1
VTA-0000138,EFECTIVO,1.0,VTA-0000138,10,1,1,1.0,0.0,0.1,0.1,1,0,1,1
VTA-0000141,EFECTIVO,8.0,VTA-0000141,1,1,1,8.0,0.0,8.0,1.0,2,1,0,2
VTA-0000142,YAPE,1.5,VTA-0000142,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000143,EFECTIVO,1.0,VTA-0000143,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000144,EFECTIVO,1.5,VTA-0000144,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000145,EFECTIVO,1.0,VTA-0000145,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000146,EFECTIVO,1.0,VTA-0000146,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000148,YAPE,0.5,VTA-0000148,5,1,1,0.5,0.0,0.1,0.2,1,0,1,1
VTA-0000149,EFECTIVO,0.1,VTA-0000149,1,1,1,0.1,0.0,0.1,1.0,0,1,0,0
VTA-0000150,YAPE,1.0,VTA-0000150,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000151,YAPE,1.0,VTA-0000151,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000152,EFECTIVO,1.0,VTA-0000152,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000153,EFECTIVO,1.5,VTA-0000153,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000154,EFECTIVO,0.8,VTA-0000154,10,1,1,0.8,0.0,0.08,0.1,1,0,1,1
VTA-0000155,YAPE,5.0,VTA-0000155,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000157,EFECTIVO,9.0,VTA-0000157,1,1,1,9.0,0.0,9.0,1.0,2,1,0,2
VTA-0000158,EFECTIVO,1.1,VTA-0000158,11,1,1,1.1,0.0,0.1,0.09090909090909091,1,0,1,1
VTA-0000161,YAPE,3.2,VTA-0000161,2,2,1,2.0,0.565685424949238,1.6,1.0,0,2,2,0
VTA-0000163,EFECTIVO,8.0,VTA-0000163,2,1,1,8.0,0.0,4.0,0.5,2,0,2,2
VTA-0000166,EFECTIVO,5.5,VTA-0000166,1,1,1,5.5,0.0,5.5,1.0,2,1,0,2
VTA-0000167,YAPE,1.5,VTA-0000167,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000168,EFECTIVO,4.0,VTA-0000168,1,1,1,4.0,0.0,4.0,1.0,0,1,0,0
VTA-0000169,EFECTIVO,0.4,VTA-0000169,4,1,1,0.4,0.0,0.1,0.25,1,0,1,1
VTA-0000170,EFECTIVO,0.3,VTA-0000170,1,1,1,0.3,0.0,0.3,1.0,0,1,0,0
VTA-0000171,YAPE,1.0,VTA-0000171,6,2,1,0.5,0.0,0.16666666666666666,0.3333333333333333,1,2,1,1
VTA-0000172,EFECTIVO,3.1,VTA-0000172,6,4,1,2.0,0.8261355820929154,0.5166666666666667,0.6666666666666666,1,-1,1,1
VTA-0000173,YAPE,6.5,VTA-0000173,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000174,EFECTIVO,1.0,VTA-0000174,2,1,1,1.0,0.0,0.5,0.5,0,0,0,0
VTA-0000175,YAPE,1.4,VTA-0000175,4,2,1,1.0,0.42426406871192845,0.35,0.5,1,2,1,1
VTA-0000176,EFECTIVO,5.1,VTA-0000176,16,2,1,4.0,2.0506096654409878,0.31875,0.125,1,-1,1,1
VTA-0000177,EFECTIVO,1.2,VTA-0000177,1,1,1,1.2,0.0,1.2,1.0,0,1,0,0
VTA-0000181,YAPE,2.0,VTA-0000181,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000182,YAPE,6.5,VTA-0000182,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000183,EFECTIVO,1.0,VTA-0000183,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000184,YAPE,3.4,VTA-0000184,7,3,1,2.0,0.8082903768654761,0.4857142857142857,0.42857142857142855,1,-1,1,1
VTA-0000185,EFECTIVO,1.0,VTA-0000185,2,1,1,1.0,0.0,0.5,0.5,0,0,0,0
VTA-0000187,EFECTIVO,1.0,VTA-0000187,2,1,1,1.0,0.0,0.5,0.5,0,0,0,0
VTA-0000188,YAPE,0.5,VTA-0000188,5,1,1,0.5,0.0,0.1,0.2,1,0,1,1
VTA-0000191,EFECTIVO,2.0,VTA-0000191,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000192,YAPE,0.2,VTA-0000192,2,1,1,0.2,0.0,0.1,0.5,0,0,0,0
VTA-0000193,EFECTIVO,0.5,VTA-0000193,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000194,EFECTIVO,0.5,VTA-0000194,5,1,1,0.5,0.0,0.1,0.2,1,0,1,1
VTA-0000195,EFECTIVO,10.0,VTA-0000195,1,1,1,10.0,0.0,10.0,1.0,2,1,0,2
VTA-0000196,EFECTIVO,1.5,VTA-0000196,11,2,1,1.0,0.3535533905932738,0.13636363636363635,0.18181818181818182,1,-1,1,1
VTA-0000197,EFECTIVO,3.5,VTA-0000197,1,1,1,3.5,0.0,3.5,1.0,0,1,0,0
VTA-0000198,EFECTIVO,1.0,VTA-0000198,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000199,YAPE,1.1,VTA-0000199,5,3,1,0.5,0.15275252316519466,0.22000000000000003,0.6,1,-1,1,1
VTA-0000200,YAPE,1.0,VTA-0000200,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000201,EFECTIVO,0.7,VTA-0000201,3,2,1,0.5,0.21213203435596428,0.2333333333333333,0.6666666666666666,0,2,1,0
VTA-0000205,YAPE,1.5,VTA-0000205,2,2,1,1.0,0.3535533905932738,0.75,1.0,0,2,2,0
VTA-0000206,EFECTIVO,1.0,VTA-0000206,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000207,EFECTIVO,1.2,VTA-0000207,1,1,1,1.2,0.0,1.2,1.0,0,1,0,0
VTA-0000208,EFECTIVO,0.5,VTA-0000208,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000209,EFECTIVO,0.3,VTA-0000209,3,1,1,0.3,0.0,0.09999999999999999,0.3333333333333333,1,0,1,1
VTA-0000210,EFECTIVO,1.2,VTA-0000210,1,1,1,1.2,0.0,1.2,1.0,0,1,0,0
VTA-0000211,EFECTIVO,0.8,VTA-0000211,8,1,1,0.8,0.0,0.1,0.125,1,0,1,1
VTA-0000212,EFECTIVO,0.3,VTA-0000212,3,1,1,0.3,0.0,0.09999999999999999,0.3333333333333333,1,0,1,1
VTA-0000214,EFECTIVO,1.4,VTA-0000214,6,2,1,1.0,0.42426406871192845,0.2333333333333333,0.3333333333333333,1,2,1,1
VTA-0000215,EFECTIVO,0.5,VTA-0000215,5,1,1,0.5,0.0,0.1,0.2,1,0,1,1
VTA-0000218,EFECTIVO,4.5,VTA-0000218,1,1,1,4.5,0.0,4.5,1.0,2,1,0,2
VTA-0000219,EFECTIVO,1.0,VTA-0000219,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000220,EFECTIVO,1.0,VTA-0000220,10,1,1,1.0,0.0,0.1,0.1,1,0,1,1
VTA-0000221,EFECTIVO,1.5,VTA-0000221,2,2,1,1.0,0.3535533905932738,0.75,1.0,0,2,2,0
VTA-0000222,EFECTIVO,1.0,VTA-0000222,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000223,EFECTIVO,1.0,VTA-0000223,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000224,EFECTIVO,1.0,VTA-0000224,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000225,EFECTIVO,1.0,VTA-0000225,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000226,YAPE,1.0,VTA-0000226,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000227,EFECTIVO,1.5,VTA-0000227,2,2,1,1.0,0.3535533905932738,0.75,1.0,0,2,2,0
VTA-0000228,EFECTIVO,1.0,VTA-0000228,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000229,YAPE,6.0,VTA-0000229,4,4,1,3.0,1.0801234497346435,1.5,1.0,1,-1,1,1
VTA-0000230,EFECTIVO,1.0,VTA-0000230,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000231,EFECTIVO,0.7,VTA-0000231,7,1,1,0.7,0.0,0.09999999999999999,0.14285714285714285,1,0,1,1
VTA-0000232,EFECTIVO,1.0,VTA-0000232,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000233,EFECTIVO,2.0,VTA-0000233,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000234,YAPE,0.7,VTA-0000234,2,2,2,0.5,0.21213203435596428,0.35,1.0,0,-1,1,0
VTA-0000236,YAPE,4.0,VTA-0000236,4,1,1,4.0,0.0,1.0,0.25,1,0,1,1
VTA-0000237,EFECTIVO,2.0,VTA-0000237,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000238,EFECTIVO,1.0,VTA-0000238,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000239,EFECTIVO,2.0,VTA-0000239,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000240,EFECTIVO,2.0,VTA-0000240,3,2,2,1.8,1.1313708498984762,0.6666666666666666,0.6666666666666666,1,-1,1,1
VTA-0000241,YAPE,1.0,VTA-0000241,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000242,EFECTIVO,2.0,VTA-0000242,3,2,2,1.8,1.1313708498984762,0.6666666666666666,0.6666666666666666,1,-1,1,1
VTA-0000243,EFECTIVO,1.0,VTA-0000243,10,1,1,1.0,0.0,0.1,0.1,1,0,1,1
VTA-0000244,EFECTIVO,5.0,VTA-0000244,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000248,YAPE,7.0,VTA-0000248,1,1,1,7.0,0.0,7.0,1.0,2,1,0,2
VTA-0000249,EFECTIVO,1.0,VTA-0000249,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000250,EFECTIVO,1.0,VTA-0000250,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000251,EFECTIVO,2.0,VTA-0000251,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000252,YAPE,4.0,VTA-0000252,4,1,1,4.0,0.0,1.0,0.25,1,0,1,1
VTA-0000254,EFECTIVO,6.5,VTA-0000254,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000255,EFECTIVO,2.5,VTA-0000255,1,1,1,2.5,0.0,2.5,1.0,0,1,0,0
VTA-0000260,EFECTIVO,0.5,VTA-0000260,1,1,1,0.5,0.0,0.5,1.0,0,1,0,0
VTA-0000261,YAPE,5.0,VTA-0000261,5,1,1,5.0,0.0,1.0,0.2,1,0,1,1
VTA-0000262,YAPE,2.0,VTA-0000262,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000263,YAPE,7.0,VTA-0000263,1,1,1,7.0,0.0,7.0,1.0,2,1,0,2
VTA-0000264,YAPE,1.2,VTA-0000264,1,1,1,1.2,0.0,1.2,1.0,0,1,0,0
VTA-0000265,EFECTIVO,1.2,VTA-0000265,1,1,1,1.2,0.0,1.2,1.0,0,1,0,0
VTA-0000266,EFECTIVO,2.0,VTA-0000266,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000267,EFECTIVO,1.0,VTA-0000267,1,1,1,1.0,0.0,1.0,1.0,0,1,0,0
VTA-0000268,EFECTIVO,5.0,VTA-0000268,3,3,1,2.0,0.5773502691896257,1.6666666666666667,1.0,0,-1,1,0
VTA-0000269,EFECTIVO,1.5,VTA-0000269,3,1,1,1.5,0.0,0.5,0.3333333333333333,1,0,1,1
VTA-0000271,EFECTIVO,2.0,VTA-0000271,4,1,1,2.0,0.0,0.5,0.25,1,0,1,1
VTA-0000272,YAPE,9.9,VTA-0000272,10,2,1,5.4,0.636396103067893,0.99,0.2,1,-1,1,1
VTA-0000273,YAPE,5.0,VTA-0000273,5,1,1,5.0,0.0,1.0,0.2,1,0,1,1
VTA-0000276,EFECTIVO,6.5,VTA-0000276,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000277,YAPE,3.5,VTA-0000277,2,2,1,2.5,1.0606601717798212,1.75,1.0,0,2,2,0
VTA-0000280,EFECTIVO,1.3,VTA-0000280,16,1,1,1.3,0.0,0.08125,0.0625,1,0,1,1
VTA-0000281,YAPE,3.0,VTA-0000281,1,1,1,3.0,0.0,3.0,1.0,0,1,0,0
VTA-0000282,EFECTIVO,3.0,VTA-0000282,3,1,1,3.0,0.0,1.0,0.3333333333333333,1,0,1,1
VTA-0000283,EFECTIVO,1.5,VTA-0000283,1,1,1,1.5,0.0,1.5,1.0,0,1,0,0
VTA-0000284,EFECTIVO,0.2,VTA-0000284,2,1,1,0.2,0.0,0.1,0.5,0,0,0,0
VTA-0000285,YAPE,10.0,VTA-0000285,5,1,1,10.0,0.0,2.0,0.2,2,-1,2,2
VTA-0000288,YAPE,4.0,VTA-0000288,4,1,1,4.0,0.0,1.0,0.25,1,0,1,1
VTA-0000289,YAPE,4.0,VTA-0000289,2,1,1,4.0,0.0,2.0,0.5,0,0,0,0
VTA-0000290,YAPE,4.0,VTA-0000290,2,1,1,4.0,0.0,2.0,0.5,0,0,0,0
VTA-0000291,YAPE,2.0,VTA-0000291,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
VTA-0000292,YAPE,2.0,VTA-0000292,2,1,1,2.0,0.0,1.0,0.5,0,0,0,0
VTA-0000293,YAPE,6.5,VTA-0000293,1,1,1,6.5,0.0,6.5,1.0,2,1,0,2
VTA-0000294,YAPE,4.0,VTA-0000294,2,1,1,4.0,0.0,2.0,0.5,0,0,0,0
VTA-0000296,YAPE,4.0,VTA-0000296,4,1,1,4.0,0.0,1.0,0.25,1,0,1,1
VTA-0000297,YAPE,5.0,VTA-0000297,1,1,1,5.0,0.0,5.0,1.0,2,1,0,2
VTA-0000298,YAPE,1.0,VTA-0000298,10,1,1,1.0,0.0,0.1,0.1,1,0,1,1
VTA-0000300,YAPE,1.2,VTA-0000300,15,1,1,1.2,0.0,0.08,0.06666666666666667,1,0,1,1
VTA-0000301,YAPE,1.0,VTA-0000301,2,1,1,1.0,0.0,0.5,0.5,0,0,0,0
VTA-0000303,YAPE,2.0,VTA-0000303,1,1,1,2.0,0.0,2.0,1.0,0,1,0,0
