ID;Fecha;Metodo_Pago;ID_Cliente;Total
VTA-0000044;18/03/26;EFECTIVO;1;8
VTA-0000045;18/03/26;YAPE;1;8
VTA-0000046;18/03/26;EFECTIVO;1;171.2
VTA-0000047;19/03/26;EFECTIVO;1;5
VTA-0000048;19/03/26;EFECTIVO;1;2
VTA-0000049;19/03/26;EFECTIVO;1;9
VTA-0000050;19/03/26;EFECTIVO;1;2.5
VTA-0000051;19/03/26;EFECTIVO;1;3
VTA-0000052;19/03/26;YAPE;1;9
VTA-0000053;19/03/26;YAPE;1;3
VTA-0000054;19/03/26;EFECTIVO;1;3.2
VTA-0000055;19/03/26;EFECTIVO;1;0.4
VTA-0000056;19/03/26;EFECTIVO;1;9
VTA-0000057;19/03/26;EFECTIVO;1;3
VTA-0000058;19/03/26;EFECTIVO;1;2.5
VTA-0000059;19/03/26;YAPE;1;12
VTA-0000060;19/03/26;EFECTIVO;1;4
VTA-0000061;19/03/26;YAPE;1;22
VTA-0000062;20/03/26;EFECTIVO;1;4
VTA-0000063;20/03/26;EFECTIVO;1;2
VTA-0000064;20/03/26;EFECTIVO;1;1.5
VTA-0000065;20/03/26;EFECTIVO;1;6.8
VTA-0000066;20/03/26;EFECTIVO;1;1
VTA-0000067;20/03/26;YAPE;1;2
VTA-0000068;20/03/26;YAPE;1;6.5
VTA-0000069;20/03/26;YAPE;1;1.5
VTA-0000070;20/03/26;EFECTIVO;1;6.5
VTA-0000071;20/03/26;EFECTIVO;1;1
VTA-0000072;22/03/26;EFECTIVO;1;1.6
VTA-0000073;22/03/26;EFECTIVO;1;21
VTA-0000074;3/23/2026 12:40:39;EFECTIVO;1;2.8
VTA-0000075;3/23/2026 12:42:29;YAPE;1;1
VTA-0000076;3/23/2026 12:55:30;EFECTIVO;1;5
VTA-0000077;3/23/2026 12:58:41;EFECTIVO;1;4.2
VTA-0000078;3/23/2026 13:01:27;EFECTIVO;1;8
VTA-0000079;3/23/2026 13:01:59;YAPE;1;3
VTA-0000080;3/23/2026 13:02:23;YAPE;1;1
VTA-0000081;3/23/2026 13:06:22;YAPE;1;5.2
VTA-0000082;3/23/2026 13:07:02;YAPE;1;10.5
VTA-0000083;3/23/2026 13:10:37;EFECTIVO;1;1
VTA-0000084;3/23/2026 13:13:27;EFECTIVO;1;3.5
VTA-0000085;3/23/2026 13:16:00;EFECTIVO;1;1
VTA-0000086;3/23/2026 13:17:38;EFECTIVO;1;1
VTA-0000087;3/23/2026 13:17:38;YAPE;1;2.5
VTA-0000088;3/23/2026 13:17:38;YAPE;1;9
VTA-0000089;3/24/2026 13:11:39;YAPE;1;3.1
VTA-0000090;3/24/2026 13:12:05;EFECTIVO;1;5
VTA-0000091;3/24/2026 13:12:19;EFECTIVO;1;5
VTA-0000092;3/24/2026 13:14:30;EFECTIVO;1;4.5
VTA-0000093;3/24/2026 13:15:57;EFECTIVO;1;2.5
VTA-0000094;3/24/2026 13:17:41;EFECTIVO;1;4
VTA-0000095;3/24/2026 13:18:55;EFECTIVO;1;3.2
VTA-0000096;3/24/2026 13:19:37;YAPE;1;2.1
VTA-0000097;3/24/2026 13:20:39;EFECTIVO;1;2
VTA-0000098;3/24/2026 20:21:04;EFECTIVO;1;8.1
VTA-0000099;3/24/2026 20:23:57;EFECTIVO;1;0.5
VTA-0000100;3/25/2026 1:15:28;EFECTIVO;1;4
VTA-0000101;3/25/2026 1:15:28;EFECTIVO;1;1
VTA-0000102;3/25/2026 1:15:28;EFECTIVO;1;0.5
VTA-0000103;3/25/2026 1:15:28;EFECTIVO;1;3
VTA-0000104;3/25/2026 1:15:28;EFECTIVO;1;4.2
VTA-0000105;3/25/2026 1:15:28;EFECTIVO;1;4.1
VTA-0000106;3/25/2026 1:15:28;EFECTIVO;1;1.9
VTA-0000107;3/25/2026 1:15:28;EFECTIVO;1;1
VTA-0000108;3/25/2026 1:15:28;EFECTIVO;1;1
VTA-0000109;3/25/2026 1:15:28;EFECTIVO;1;10.5
VTA-0000110;3/25/2026 1:15:28;EFECTIVO;1;20.1
VTA-0000111;3/26/2026 13:27:00;EFECTIVO;1;2
VTA-0000112;3/26/2026 13:27:24;EFECTIVO;1;0.5
VTA-0000113;3/26/2026 13:27:46;EFECTIVO;1;2
VTA-0000114;3/26/2026 13:32:51;YAPE;1;1.2
VTA-0000115;3/26/2026 13:33:10;YAPE;1;1
VTA-0000116;3/26/2026 13:33:42;EFECTIVO;1;0.6
VTA-0000117;3/26/2026 13:34:16;EFECTIVO;1;1
VTA-0000118;3/26/2026 13:36:20;EFECTIVO;1;2
VTA-0000119;3/26/2026 13:37:17;EFECTIVO;1;0.5
VTA-0000120;3/26/2026 13:37:42;YAPE;1;8
VTA-0000121;3/26/2026 13:38:16;EFECTIVO;1;3.3
VTA-0000122;3/26/2026 13:40:00;EFECTIVO;1;1
VTA-0000123;3/26/2026 13:41:49;EFECTIVO;1;1
VTA-0000124;3/26/2026 13:42:00;EFECTIVO;1;1
VTA-0000125;3/26/2026 13:42:26;EFECTIVO;1;14
VTA-0000126;3/26/2026 13:43:40;EFECTIVO;1;32.2
VTA-0000127;3/26/2026 13:50:41;YAPE;1;108.9
VTA-0000128;3/26/2026 13:51:02;EFECTIVO;1;2
VTA-0000129;27/3/2026 15:44:05;EFECTIVO;1;1.5
VTA-0000130;27/3/2026 15:44:56;EFECTIVO;1;1.3
VTA-0000131;27/3/2026 15:45:52;EFECTIVO;1;1.4
VTA-0000132;27/3/2026 15:46:17;EFECTIVO;1;0.4
VTA-0000133;27/3/2026 15:46:40;YAPE;1;0.5
VTA-0000134;27/3/2026 15:46:56;YAPE;1;0.5
VTA-0000135;27/3/2026 15:47:30;EFECTIVO;1;2
VTA-0000136;27/3/2026 15:48:19;EFECTIVO;1;6.5
VTA-0000137;27/3/2026 15:48:39;EFECTIVO;1;4
VTA-0000138;3/28/2026 15:50:20;EFECTIVO;1;1
VTA-0000139;3/30/2026 10:03:38;EFECTIVO;1;4.2
VTA-0000140;3/30/2026 10:04:48;EFECTIVO;1;3.8
VTA-0000141;3/30/2026 15:30:23;EFECTIVO;1;8
VTA-0000142;3/30/2026 15:41:52;YAPE;1;1.5
VTA-0000143;3/30/2026 15:42:36;EFECTIVO;1;1
VTA-0000144;3/30/2026 15:43:16;EFECTIVO;1;1.5
VTA-0000145;3/30/2026 15:43:47;EFECTIVO;1;1
VTA-0000146;3/30/2026 15:45:11;EFECTIVO;1;1
VTA-0000147;31/3/2026 13:46:28;YAPE;1;4.2
VTA-0000148;31/3/2026 13:46:28;YAPE;1;0.5
VTA-0000149;31/3/2026 13:46:28;EFECTIVO;1;0.1
VTA-0000150;31/3/2026 13:46:28;YAPE;1;1
VTA-0000151;31/3/2026 13:46:28;YAPE;1;1
VTA-0000152;31/3/2026 13:46:28;EFECTIVO;1;1
VTA-0000153;31/3/2026 13:46:28;EFECTIVO;1;1.5
VTA-0000154;31/3/2026 13:46:28;EFECTIVO;1;0.8
VTA-0000155;31/3/2026 13:46:28;YAPE;1;5
VTA-0000156;31/3/2026 13:46:28;EFECTIVO;1;2.1
VTA-0000157;1/4/2026 13:57:53;EFECTIVO;1;9
VTA-0000158;1/4/2026 13:59:12;EFECTIVO;1;1.1
VTA-0000159;1/4/2026 14:00:21;EFECTIVO;1;6.3
VTA-0000160;1/4/2026 14:00:41;EFECTIVO;1;8
VTA-0000161;1/4/2026 14:02:32;YAPE;1;3.2
VTA-0000162;1/4/2026 14:14:36;YAPE;1;10.5
VTA-0000163;4/3/2026 14:44:15;EFECTIVO;1;8
VTA-0000164;4/6/2026 9:43:17;YAPE;1;18.4
VTA-0000165;4/6/2026 9:44:01;YAPE;1;54
VTA-0000166;4/6/2026 9:45:31;EFECTIVO;1;5.5
VTA-0000167;4/6/2026 9:47:12;YAPE;1;1.5
VTA-0000168;4/6/2026 9:47:47;EFECTIVO;1;4
VTA-0000169;4/6/2026 9:48:29;EFECTIVO;1;0.4
VTA-0000170;4/6/2026 9:49:19;EFECTIVO;1;0.3
VTA-0000171;4/6/2026 9:51:21;YAPE;1;1
VTA-0000172;4/6/2026 9:55:02;EFECTIVO;1;3.1
VTA-0000173;4/6/2026 9:56:17;YAPE;1;6.5
VTA-0000174;4/6/2026 9:56:51;EFECTIVO;1;1
VTA-0000175;4/6/2026 9:59:29;YAPE;1;1.4
VTA-0000176;4/6/2026 12:04:08;EFECTIVO;1;5.1
VTA-0000177;4/6/2026 23:07:00;EFECTIVO;1;1.2
VTA-0000178;4/6/2026 23:07:50;YAPE;1;10.5
VTA-0000179;4/6/2026 23:11:16;EFECTIVO;1;8.8
VTA-0000180;4/6/2026 23:13:48;YAPE;1;22
VTA-0000181;4/6/2026 23:14:29;YAPE;1;2
VTA-0000182;4/7/2026 15:33:50;YAPE;1;6.5
VTA-0000183;4/7/2026 15:34:47;EFECTIVO;1;1
VTA-0000184;4/7/2026 15:37:28;YAPE;1;3.4
VTA-0000185;7/4/2026 15:38:45;EFECTIVO;1;1
VTA-0000186;7/4/2026 15:39:43;YAPE;1;3.2
VTA-0000187;7/4/2026 15:40:11;EFECTIVO;1;1
VTA-0000188;7/4/2026 15:41:18;YAPE;1;0.5
VTA-0000189;7/4/2026 15:42:19;EFECTIVO;1;3.6
VTA-0000190;7/4/2026 15:42:52;EFECTIVO;1;3.2
VTA-0000191;7/4/2026 15:44:16;EFECTIVO;1;2
VTA-0000192;7/4/2026 15:53:08;YAPE;1;0.2
VTA-0000193;7/4/2026 15:54:11;EFECTIVO;1;0.5
VTA-0000194;7/4/2026 15:54:34;EFECTIVO;1;0.5
VTA-0000195;7/4/2026 17:35:28;EFECTIVO;1;10
VTA-0000196;7/4/2026 17:39:29;EFECTIVO;1;1.5
VTA-0000197;8/4/2026 17:44:37;EFECTIVO;1;3.5
VTA-0000198;8/4/2026 17:48:07;EFECTIVO;1;1
VTA-0000199;8/4/2026 17:55:57;YAPE;1;1.1
VTA-0000200;8/4/2026 17:56:49;YAPE;1;1
VTA-0000201;8/4/2026 17:58:00;EFECTIVO;1;0.7
VTA-0000202;8/4/2026 17:58:51;EFECTIVO;1;5.4
VTA-0000203;8/4/2026 17:59:20;EFECTIVO;1;1.4
VTA-0000204;8/4/2026 18:06:11;YAPE;1;30
VTA-0000205;9/4/2026 18:09:31;YAPE;1;1.5
VTA-0000206;9/4/2026 18:10:22;EFECTIVO;1;1
VTA-0000207;9/4/2026 18:12:41;EFECTIVO;1;1.2
VTA-0000208;9/4/2026 18:13:53;EFECTIVO;1;0.5
VTA-0000209;9/4/2026 18:15:05;EFECTIVO;1;0.3
VTA-0000210;9/4/2026 18:30:41;EFECTIVO;1;1.2
VTA-0000211;9/4/2026 18:31:42;EFECTIVO;1;0.8
VTA-0000212;9/4/2026 18:32:11;EFECTIVO;1;0.3
VTA-0000213;9/4/2026 18:32:45;YAPE;1;1.8
VTA-0000214;9/4/2026 18:34:50;EFECTIVO;1;1.4
VTA-0000215;9/4/2026 18:35:26;EFECTIVO;1;0.5
VTA-0000216;9/4/2026 18:35:51;EFECTIVO;1;5.2
VTA-0000217;9/4/2026 18:36:37;EFECTIVO;1;2.8
VTA-0000218;9/4/2026 18:39:27;EFECTIVO;1;4.5
VTA-0000219;9/4/2026 18:41:10;EFECTIVO;1;1
VTA-0000220;10/4/2026 18:42:42;EFECTIVO;1;1
VTA-0000221;10/4/2026 18:43:43;EFECTIVO;1;1.5
VTA-0000222;10/4/2026 18:45:32;EFECTIVO;1;1
VTA-0000223;10/4/2026 18:46:01;EFECTIVO;1;1
VTA-0000224;10/4/2026 18:46:43;EFECTIVO;1;1
VTA-0000225;10/4/2026 18:47:07;EFECTIVO;1;1
VTA-0000226;10/4/2026 18:47:36;YAPE;1;1
VTA-0000227;10/4/2026 18:48:17;EFECTIVO;1;1.5
VTA-0000228;10/4/2026 18:50:59;EFECTIVO;1;1
VTA-0000229;10/4/2026 18:53:38;YAPE;1;6
VTA-0000230;10/4/2026 18:54:35;EFECTIVO;1;1
VTA-0000231;10/4/2026 18:55:00;EFECTIVO;1;0.7
VTA-0000232;10/4/2026 18:55:22;EFECTIVO;1;1
VTA-0000233;12/4/2026 11:34:46;EFECTIVO;1;2
VTA-0000234;12/4/2026 11:38:48;YAPE;1;0.7
VTA-0000235;4/12/2026 11:39:34;YAPE;1;12
VTA-0000236;4/12/2026 11:40:05;YAPE;1;4
VTA-0000237;4/13/2026 11:40:29;EFECTIVO;1;2
VTA-0000238;4/13/2026 11:40:51;EFECTIVO;1;1
VTA-0000239;4/13/2026 11:41:19;EFECTIVO;1;2
VTA-0000240;4/13/2026 11:42:26;EFECTIVO;1;2
VTA-0000241;4/13/2026 11:43:11;YAPE;1;1
VTA-0000242;4/13/2026 11:44:10;EFECTIVO;1;2
VTA-0000243;4/13/2026 11:44:39;EFECTIVO;1;1
VTA-0000244;4/13/2026 11:44:55;EFECTIVO;1;5
VTA-0000245;4/13/2026 11:47:09;EFECTIVO;1;2.7
VTA-0000246;4/13/2026 11:50:43;EFECTIVO;1;6.7
VTA-0000247;4/13/2026 11:52:11;YAPE;1;39.5
VTA-0000248;4/13/2026 11:52:56;YAPE;1;7
VTA-0000249;4/13/2026 11:53:14;EFECTIVO;1;1
VTA-0000250;4/13/2026 14:53:07;EFECTIVO;1;1
VTA-0000251;4/13/2026 14:53:46;EFECTIVO;1;2
VTA-0000252;4/13/2026 21:04:10;YAPE;1;4
VTA-0000253;4/13/2026 21:06:56;YAPE;1;25
VTA-0000254;14/4/2026 14:44:00;EFECTIVO;1;6.5
VTA-0000255;14/4/2026 14:45:14;EFECTIVO;1;2.5
VTA-0000256;14/4/2026 14:46:04;YAPE;1;6
VTA-0000257;14/4/2026 14:46:31;EFECTIVO;1;6.6
VTA-0000258;14/4/2026 14:46:58;EFECTIVO;1;6.2
VTA-0000259;14/4/2026 14:48:29;EFECTIVO;1;3.7
VTA-0000260;14/4/2026 14:48:53;EFECTIVO;1;0.5
VTA-0000261;14/4/2026 14:49:30;YAPE;1;5
VTA-0000262;14/4/2026 14:50:09;YAPE;1;2
VTA-0000263;14/4/2026 14:51:16;YAPE;1;7
VTA-0000264;14/4/2026 14:52:42;YAPE;1;1.2
VTA-0000265;14/4/2026 14:53:12;EFECTIVO;1;1.2
VTA-0000266;14/4/2026 14:54:40;EFECTIVO;1;2
VTA-0000267;15/4/2026 16:19:31;EFECTIVO;1;1
VTA-0000268;15/4/2026 16:21:38;EFECTIVO;1;5
VTA-0000269;15/4/2026 16:23:12;EFECTIVO;1;1.5
VTA-0000270;15/4/2026 16:23:38;EFECTIVO;1;5.5
VTA-0000271;15/4/2026 16:27:46;EFECTIVO;1;2
VTA-0000272;15/4/2026 16:41:16;YAPE;1;9.9
VTA-0000273;15/4/2026 16:42:01;YAPE;1;5
VTA-0000274;16/4/2026 16:42:31;EFECTIVO;1;3.6
VTA-0000275;16/4/2026 16:43:08;EFECTIVO;1;7.2
VTA-0000276;17/4/2026 16:44:01;EFECTIVO;1;6.5
VTA-0000277;17/4/2026 16:45:28;YAPE;1;3.5
VTA-0000278;17/4/2026 16:46:03;YAPE;1;8
VTA-0000279;17/4/2026 16:46:49;EFECTIVO;1;1.7
VTA-0000280;17/4/2026 16:47:24;EFECTIVO;1;1.3
VTA-0000281;17/4/2026 16:47:59;YAPE;1;3
VTA-0000282;17/4/2026 16:48:31;EFECTIVO;1;3
VTA-0000283;17/4/2026 16:53:44;EFECTIVO;1;1.5
VTA-0000284;4/18/2026 16:54:12;EFECTIVO;1;0.2
VTA-0000285;4/18/2026 16:56:25;YAPE;1;10
VTA-0000286;4/18/2026 16:57:06;YAPE;1;12
VTA-0000287;4/18/2026 16:57:18;YAPE;1;12
VTA-0000288;4/18/2026 16:58:25;YAPE;1;4
VTA-0000289;4/18/2026 16:59:54;YAPE;1;4
VTA-0000290;4/18/2026 17:00:14;YAPE;1;4
VTA-0000291;4/18/2026 17:00:25;YAPE;1;2
VTA-0000292;4/18/2026 17:00:55;YAPE;1;2
VTA-0000293;4/18/2026 17:02:04;YAPE;1;6.5
VTA-0000294;4/18/2026 17:04:01;YAPE;1;4
VTA-0000295;4/18/2026 17:04:33;YAPE;1;16
VTA-0000296;4/18/2026 17:04:43;YAPE;1;4
VTA-0000297;4/18/2026 17:05:20;YAPE;1;5
VTA-0000298;4/18/2026 17:05:45;YAPE;1;1
VTA-0000299;4/18/2026 17:08:01;YAPE;1;2.6
VTA-0000300;4/18/2026 17:08:31;YAPE;1;1.2
VTA-0000301;4/18/2026 17:08:47;YAPE;1;1
VTA-0000302;4/18/2026 17:09:05;YAPE;1;15
VTA-0000303;4/18/2026 17:09:28;YAPE;1;2
VTA-0000304;4/18/2026 17:09:45;YAPE;1;3
VTA-0000305;4/18/2026 17:11:21;YAPE;1;7
VTA-0000306;4/18/2026 19:29:43;EFECTIVO;1;188.2
VTA-0000307;4/20/2026 14:53:56;EFECTIVO;1;1
VTA-0000308;4/20/2026 14:54:46;EFECTIVO;1;1
VTA-0000309;4/20/2026 14:55:44;YAPE;1;1
VTA-0000310;4/20/2026 14:56:03;EFECTIVO;1;1
VTA-0000311;4/20/2026 14:56:27;EFECTIVO;1;7
VTA-0000312;4/20/2026 14:57:11;EFECTIVO;1;1
VTA-0000313;4/20/2026 14:57:37;EFECTIVO;1;1
VTA-0000314;4/20/2026 14:58:04;EFECTIVO;1;1
VTA-0000315;4/20/2026 14:58:28;YAPE;1;3
VTA-0000316;4/20/2026 14:58:55;EFECTIVO;1;2
VTA-0000317;4/20/2026 14:59:28;EFECTIVO;1;9.3
VTA-0000318;4/20/2026 15:00:09;EFECTIVO;1;1.5
VTA-0000319;4/20/2026 15:00:34;EFECTIVO;1;1
VTA-0000320;4/20/2026 15:01:12;EFECTIVO;1;12
VTA-0000321;4/20/2026 16:15:12;YAPE;1;4
VTA-0000322;4/20/2026 16:15:32;YAPE;1;1
VTA-0000323;4/20/2026 21:22:12;EFECTIVO;1;1.6
VTA-0000324;21/4/2026;EFECTIVO;1;1
VTA-0000325;21/4/2026;YAPE;1;1
VTA-0000326;21/4/2026;EFECTIVO;1;7
VTA-0000327;21/4/2026;EFECTIVO;1;1.5
VTA-0000328;21/4/2026;EFECTIVO;1;1
VTA-0000329;21/4/2026;YAPE;1;3.9
VTA-0000330;21/4/2026;YAPE;1;0.1
VTA-0000331;21/4/2026;YAPE;1;0.1
VTA-0000332;21/4/2026;YAPE;1;1.2
VTA-0000333;21/4/2026;EFECTIVO;1;5
VTA-0000334;21/4/2026;EFECTIVO;1;6.3
VTA-0000335;21/4/2026;EFECTIVO;1;2.8
VTA-0000336;21/4/2026;EFECTIVO;1;0.4
VTA-0000337;21/4/2026;EFECTIVO;1;4
VTA-0000338;21/4/2026;YAPE;1;3.5
VTA-0000339;21/4/2026;EFECTIVO;1;1
VTA-0000340;21/4/2026;YAPE;1;2
VTA-0000341;21/4/2026;EFECTIVO;1;4.2
VTA-0000342;21/4/2026;EFECTIVO;1;1
VTA-0000343;22/4/2026;YAPE;1;2.5
VTA-0000344;22/4/2026;EFECTIVO;1;2
VTA-0000345;22/4/2026;EFECTIVO;1;2
VTA-0000346;22/4/2026;YAPE;1;3
VTA-0000347;22/4/2026;EFECTIVO;1;4
VTA-0000348;22/4/2026;EFECTIVO;1;4
VTA-0000349;22/4/2026;EFECTIVO;1;3
VTA-0000350;22/4/2026;EFECTIVO;1;4
VTA-0000351;22/4/2026;EFECTIVO;1;1
VTA-0000352;22/4/2026;YAPE;1;9.3
VTA-0000353;22/4/2026;EFECTIVO;1;8.5
VTA-0000354;22/4/2026;EFECTIVO;1;2
VTA-0000355;22/4/2026;EFECTIVO;1;1.5
VTA-0000356;22/4/2026;EFECTIVO;1;2
VTA-0000357;22/4/2026;EFECTIVO;1;2.9
VTA-0000358;22/4/2026;YAPE;1;1
VTA-0000359;22/4/2026;YAPE;1;1
VTA-0000360;22/4/2026;EFECTIVO;1;2
VTA-0000361;22/4/2026;YAPE;1;2
VTA-0000362;23/4/2026;YAPE;1;3
VTA-0000363;23/4/2026;YAPE;1;1.2
VTA-0000364;23/4/2026;YAPE;1;1.5
VTA-0000365;23/4/2026;EFECTIVO;1;0.6
VTA-0000366;23/4/2026;EFECTIVO;1;4.8
VTA-0000367;23/4/2026;EFECTIVO;1;69
VTA-0000368;23/4/2026;YAPE;1;2.4
VTA-0000369;23/4/2026;EFECTIVO;1;1
VTA-0000370;23/4/2026;EFECTIVO;1;2
VTA-0000371;23/4/2026;EFECTIVO;1;1
VTA-0000372;23/4/2026;YAPE;1;3
VTA-0000373;23/4/2026;EFECTIVO;1;3
VTA-0000374;23/4/2026;EFECTIVO;1;96
VTA-0000375;4/24/2026 22:52:10;EFECTIVO;1;1
VTA-0000376;4/24/2026 22:52:47;EFECTIVO;1;2
VTA-0000377;4/24/2026 22:53:18;YAPE;1;2
VTA-0000378;4/24/2026 22:53:35;YAPE;1;1
VTA-0000379;4/24/2026 22:53:46;YAPE;1;1
VTA-0000380;4/24/2026 22:54:10;EFECTIVO;1;2
VTA-0000381;27/4/2026;YAPE;1;0.6
VTA-0000382;27/4/2026;EFECTIVO;1;2.5
VTA-0000383;27/4/2026;EFECTIVO;1;2.2
VTA-0000384;27/4/2026;EFECTIVO;1;4.7
VTA-0000385;27/4/2026;YAPE;1;20
VTA-0000386;27/4/2026;EFECTIVO;1;0.6
VTA-0000387;28/4/2026;EFECTIVO;1;3
VTA-0000388;28/4/2026;YAPE;1;5.3
VTA-0000389;28/4/2026;YAPE;1;1.5
VTA-0000390;28/4/2026;EFECTIVO;1;3
VTA-0000391;28/4/2026;EFECTIVO;1;3
VTA-0000392;28/4/2026;EFECTIVO;1;3.3
VTA-0000393;28/4/2026;EFECTIVO;1;1
VTA-0000394;28/4/2026;EFECTIVO;1;2
VTA-0000395;28/4/2026;EFECTIVO;1;2
VTA-0000396;29/4/2026;YAPE;1;2
VTA-0000397;29/4/2026;YAPE;1;2
VTA-0000398;29/4/2026;EFECTIVO;1;4.4
VTA-0000399;29/4/2026;EFECTIVO;1;1
VTA-0000400;29/4/2026;EFECTIVO;1;3.8
VTA-0000401;29/4/2026;EFECTIVO;1;1.5
VTA-0000402;29/4/2026;EFECTIVO;1;2.5
VTA-0000403;29/4/2026;EFECTIVO;1;1
VTA-0000404;30/4/2026;YAPE;1;5
VTA-0000405;30/4/2026;YAPE;1;0.1
VTA-0000406;30/4/2026;EFECTIVO;1;1
VTA-0000407;30/4/2026;EFECTIVO;1;3.4
VTA-0000408;30/4/2026;EFECTIVO;1;1.5
VTA-0000409;01/05/2026;YAPE;1;17.9
VTA-0000410;01/05/2026;YAPE;1;75.5
VTA-0000411;5/4/2026 8:12:13;EFECTIVO;1;4
VTA-0000412;5/4/2026 8:12:40;EFECTIVO;1;3
VTA-0000413;5/4/2026 8:13:18;EFECTIVO;1;3
VTA-0000414;5/4/2026 8:13:36;EFECTIVO;1;3
VTA-0000415;5/4/2026 8:14:32;EFECTIVO;1;2
VTA-0000416;5/4/2026 8:17:07;YAPE;1;1
VTA-0000417;5/4/2026 8:17:43;YAPE;1;3
VTA-0000418;5/4/2026 8:44:20;YAPE;1;6.5
VTA-0000419;5/4/2026 8:45:14;YAPE;1;4.6
VTA-0000420;5/4/2026 15:29:36;EFECTIVO;1;7.3
VTA-0000421;5/4/2026 15:30:08;EFECTIVO;1;4
VTA-0000422;5/4/2026 15:31:08;YAPE;1;6
VTA-0000423;5/4/2026 15:33:34;EFECTIVO;1;1
VTA-0000424;5/4/2026 15:37:48;EFECTIVO;1;0.5
VTA-0000425;5/4/2026 15:42:02;EFECTIVO;1;2
VTA-0000426;5/5/2026;YAPE;1;3
VTA-0000427;5/5/2026;EFECTIVO;1;1.2
VTA-0000428;5/5/2026;EFECTIVO;1;4
VTA-0000429;5/5/2026;EFECTIVO;1;2
VTA-0000430;5/5/2026;EFECTIVO;1;3
VTA-0000431;5/5/2026;EFECTIVO;1;1
VTA-0000432;5/5/2026;EFECTIVO;1;1
VTA-0000433;5/5/2026;EFECTIVO;1;6
VTA-0000434;5/5/2026;EFECTIVO;1;22.5
VTA-0000435;5/5/2026;EFECTIVO;1;0.5
VTA-0000436;5/5/2026;YAPE;1;1.5
VTA-0000437;5/5/2026;YAPE;1;2
VTA-0000438;5/5/2026;EFECTIVO;1;4.1
VTA-0000439;5/5/2026;EFECTIVO;1;6.3
VTA-0000440;5/5/2026;YAPE;1;9
VTA-0000441;5/5/2026;EFECTIVO;1;2.2
VTA-0000442;5/5/2026;EFECTIVO;1;1.2
VTA-0000443;5/5/2026;EFECTIVO;1;1
VTA-0000444;6/5/2026;EFECTIVO;1;0.5
VTA-0000445;6/5/2026;YAPE;1;3
VTA-0000446;6/5/2026;YAPE;1;4.5
VTA-0000447;6/5/2026;EFECTIVO;1;0.5
VTA-0000448;6/5/2026;EFECTIVO;1;3
VTA-0000449;6/5/2026;EFECTIVO;1;0.5
VTA-0000450;6/5/2026;EFECTIVO;1;2
VTA-0000451;6/5/2026;EFECTIVO;1;1.4
VTA-0000452;6/5/2026;YAPE;1;4
VTA-0000453;6/5/2026;EFECTIVO;1;6
VTA-0000454;6/5/2026;EFECTIVO;1;2
VTA-0000455;6/5/2026;EFECTIVO;1;3.2
VTA-0000456;6/5/2026;YAPE;1;8
VTA-0000457;6/5/2026;YAPE;1;2
VTA-0000458;6/5/2026;EFECTIVO;1;4
VTA-0000459;7/5/2026;EFECTIVO;1;1
